Tamanho da matriz;Tempo DGEMM normal;Tempo DGEMM melhorado
4096;0.002190;0.001557
25600;0.034304;0.017699
65536;0.085298;0.063965
123904;0.206773;0.171057
200704;0.432713;0.321431
295936;0.766979;0.578811
409600;1.280396;0.988134
541696;1.940340;1.428669
692224;2.825285;1.490974
861184;2.715734;1.882769
1048576;32.216206;11.871099
4096;0.000811;0.000588
25600;0.012564;0.009238
65536;0.060166;0.042210
123904;0.147294;0.106378
200704;0.292977;0.273726
295936;0.543355;0.432839
409600;0.966122;0.689243
541696;1.591964;1.247467
692224;2.303603;1.652506
861184;2.872681;2.042007
1048576;37.502972;11.245400
4096;0.000839;0.000623
25600;0.013165;0.009828
65536;0.057224;0.050803
123904;0.144767;0.112044
200704;0.282994;0.283311
295936;0.515460;0.414916
409600;0.874025;0.658508
541696;1.474756;1.146917
692224;2.284988;1.705007
861184;2.758021;1.955131
1048576;35.393967;11.998818
4096;0.000804;0.000598
25600;0.012547;0.009336
65536;0.056467;0.042027
123904;0.136945;0.105326
200704;0.280224;0.222599
295936;0.518800;0.400997
409600;0.862434;0.637608
541696;1.321450;0.960079
692224;1.992915;1.364108
861184;2.769983;1.928925
1048576;32.255966;10.529207
4096;0.000813;0.000589
25600;0.012566;0.009174
65536;0.056840;0.043425
123904;0.139160;0.102625
200704;0.282229;0.224660
295936;0.511303;0.393477
409600;0.861619;0.643871
541696;1.337620;0.946460
692224;1.989268;1.399754
861184;2.778566;1.975044
1048576;36.276047;14.533519
4096;0.001288;0.000963
25600;0.019446;0.014122
65536;0.085050;0.068673
123904;0.218463;0.164914
200704;0.448775;0.351177
295936;0.803981;0.622801
409600;1.445595;1.116643
541696;2.035719;1.474176
692224;2.949456;2.096224
861184;4.057861;3.028439
1048576;34.769093;10.084036
4096;0.000805;0.000590
25600;0.012512;0.011653
65536;0.055580;0.041574
123904;0.136706;0.100890
200704;0.284178;0.213599
295936;0.504004;0.380253
409600;0.857886;0.637639
541696;1.318957;0.926453
692224;1.989609;1.486166
861184;2.764279;1.887239
1048576;31.455423;11.874915
4096;0.000812;0.000589
25600;0.012533;0.010451
65536;0.057155;0.043362
123904;0.136855;0.099875
200704;0.283414;0.207758
295936;0.501839;0.395732
409600;0.863578;0.664877
541696;1.320909;1.001590
692224;3.090357;2.186535
861184;4.057754;2.922531
1048576;35.929260;13.226692
4096;0.001241;0.000908
25600;0.019344;0.014148
65536;0.085754;0.064819
123904;0.207185;0.167801
200704;0.457396;0.352345
295936;0.771830;0.611193
409600;1.213480;0.708157
541696;1.367500;1.010599
692224;2.620609;2.096893
861184;4.012179;2.900809
1048576;34.910027;13.336920
4096;0.001247;0.000911
25600;0.019700;0.015175
65536;0.085607;0.063507
123904;0.198037;0.151746
200704;0.355165;0.257591
295936;0.844706;0.619513
409600;1.411355;1.084284
541696;1.967319;1.471791
692224;2.924112;1.747681
861184;2.755004;2.012253
1048576;34.753750;11.559997
