Tamanho da matriz;Tempo DGEMM normal;Tempo DGEMM AVX; Tempo DGEMM AVX + UNROLL
16777216;518.901367;187.987717;130.384247
16777216;522.978455;189.093536;132.624832
26214400;985.144653;346.746033;247.238281
26214400;984.825684;347.141754;246.203049
37748736;1771.448853;603.897949;422.796814
37748736;1770.912476;605.610046;434.346649
51380224;2919.796631;977.446045;694.408386
51380224;2899.915771;976.555786;687.967712
67108864;4917.168945;1512.813599;1065.038940
67108864;4867.536133;1511.737671;1082.152344
