Tamanho da matriz;Tempo DGEMM normal;Tempo DGEMM AVX; Tempo DGEMM AVX + UNROLL;Tempo DGEMM AVX + BLOCK
16777216;1507.851929;796.400635;576.856262;131.98516816777216
16777216;1484.550659;796.823853;586.758606;130.31369016777216
16777216;1498.668945;792.532227;583.768066;130.22746316777216
16777216;1497.002563;795.815674;577.683350;130.33725016777216
16777216;1495.201050;799.145996;580.998901;130.22210716777216
16777216;1494.912476;802.454346;580.309631;130.45582616777216
16777216;1497.627319;802.570679;580.623047;131.27621516777216
16777216;1507.793945;801.879272;585.473083;130.87739616777216
16777216;1510.271851;809.900635;581.795532;130.60166916777216
16777216;1509.275513;803.930969;585.726929;130.70477326214400
26214400;3073.558350;1675.441406;1184.483765;248.61920226214400
26214400;3097.316650;1677.507568;1181.805664;249.12583926214400
26214400;3103.900879;1671.241333;1181.054077;249.11483826214400
26214400;3100.725830;1682.213135;1189.537231;249.11973626214400
26214400;3095.452881;1684.753540;1183.544312;249.03698726214400
26214400;3118.979492;1673.491943;1176.143188;248.75860626214400
26214400;3092.952393;1667.755493;1182.603149;249.17894026214400
26214400;3112.039062;1688.674316;1184.574829;249.84777826214400
26214400;3317.217285;1704.415649;1193.652466;251.93170226214400
26214400;3098.243408;1679.501221;1183.309448;251.82041937748736
37748736;5294.026367;2876.607422;2070.511230;446.91500937748736
37748736;5315.149414;2880.106689;2071.168701;447.73342937748736
37748736;5310.045410;2874.717529;2077.843018;453.15570137748736
37748736;5309.875977;2853.844727;2078.174805;446.99102837748736
37748736;5299.734375;2868.186768;2087.339355;447.19171137748736
37748736;5310.138672;2860.915283;2074.595703;447.29049737748736
37748736;5303.361328;2870.888184;2070.143311;448.11297637748736
37748736;5300.584473;2852.829590;2090.138428;448.02847337748736
37748736;5311.042969;2869.312012;2068.349365;448.15020837748736
37748736;5320.114746;2888.772217;2075.961426;448.03918551380224
51380224;8557.935547;4548.666992;3345.163330;686.37970051380224
51380224;8538.475586;4574.419922;3346.850586;685.83575451380224
51380224;8552.159180;4579.786621;3344.686768;686.79638751380224
51380224;8606.424805;4624.782715;3354.645996;685.53875751380224
51380224;8536.354492;4559.294922;3330.773438;686.75189251380224
51380224;8553.572266;4581.952148;3351.610107;685.25921651380224
51380224;8568.004883;4580.540527;3325.914551;687.99139451380224
51380224;8555.636719;4596.538574;3334.886719;685.59722951380224
51380224;8540.787109;4549.671875;3332.695801;688.87420751380224
51380224;8524.423828;4588.657715;3339.931152;687.70086767108864
67108864;13587.084961;7158.255371;5045.752441;1068.62316967108864
67108864;13641.599609;7044.679199;5057.876465;1069.68054267108864
67108864;13683.844727;7066.495605;5068.561523;1065.40612867108864
67108864;13664.640625;7188.330566;5057.449219;1062.14685167108864
67108864;13665.508789;7168.578125;5036.209961;1057.27380467108864
67108864;13653.971680;7225.614258;5067.596191;1068.25964467108864
67108864;13743.663086;7186.349609;5088.315918;1065.12072867108864
67108864;13736.481445;7197.806152;5067.244141;1063.79907267108864
67108864;13813.778320;7662.189941;5378.745605;1102.65063567108864
67108864;13925.256836;7143.209961;5033.164062;1058.605957
