Tamanho da matriz;Tempo DGEMM
16777216;4876.276855
16777216;5020.081055
16777216;5172.062988
16777216;5064.917969
16777216;5056.865234
26214400;10017.014648
26214400;9997.000977
26214400;9942.363281
26214400;9958.691406
26214400;10022.600586
37748736;17288.890625
37748736;17149.519531
37748736;17161.656250
37748736;17118.306641
37748736;17103.599609
51380224;27931.972656
51380224;28002.216797
51380224;28109.257812
51380224;27993.525391
51380224;27905.736328
67108864;41654.949219
67108864;41781.160156
67108864;41789.183594
67108864;41650.816406
67108864;41681.304688
